fn | definer | anon-executable(modelled) | PUBLIC | anon | latest def
resolve_civil_fee | True | False | False | False | supabase/migrations/00000000000059_task14a_civil_payment_and_preconditions.sql:386
resolve_credential_fee | True | False | False | False | supabase/migrations/00000000000054_task12_fee_catalog_repair.sql:67
resolve_reconciliation_exception | True | False | False | False | supabase/migrations/00000000000086_rental_review_round3_fixes.sql:196
resolve_rental_checkpoint | True | False | False | False | supabase/migrations/00000000000083_rental_phase5_checkpoint.sql:342
resolve_rental_checkpoint_core | True | False | False | False | supabase/migrations/00000000000083_rental_phase5_checkpoint.sql:218
resolve_service_fee | True | False | False | False | supabase/migrations/00000000000062_task14b_payment_issuance_and_preconditions.sql:162
reverse_rental_payment | True | False | False | False | supabase/migrations/00000000000089_rental_review_round6_fixes.sql:434
seed_office_for_new_woreda | True | True | True | True | supabase/migrations/00000000000048_task11_schema_gaps.sql:88
seed_rental_policy_for_new_woreda | True | True | True | True | supabase/migrations/00000000000071_rental_phase0_policy.sql:232
seed_role_permission_for_new_woreda | True | True | True | True | supabase/migrations/00000000000035_task4_permission_reconciliation.sql:104
service_request_checkpoint_amount_sync | True | True | True | True | supabase/migrations/00000000000083_rental_phase5_checkpoint.sql:165
service_request_pii_sync | True | True | True | True | supabase/migrations/00000000000023_pii_encryption.sql:524
set_tenant_role_permission_updated_at | False | True | True | True | supabase/migrations/00000000000041_task13_review_hardening.sql:126
set_updated_at | False | True | True | True | supabase/migrations/00000000000000_baseline.sql:1365
settle_arrears_installments | True | False | False | False | supabase/migrations/00000000000089_rental_review_round6_fixes.sql:233
settle_rent_payment | True | False | False | False | supabase/migrations/00000000000087_rental_review_round4_fixes.sql:582
storage_path_woreda_id | False | True | True | True | supabase/migrations/00000000000000_baseline.sql:1372
user_has_any_perm | True | False | False | False | supabase/migrations/00000000000000_baseline.sql:1381
user_has_console_perm | True | False | False | False | supabase/migrations/00000000000009_console_roles.sql:60
user_has_perm | True | False | False | False | supabase/migrations/00000000000039_task13_custom_role_resolution.sql:83
user_permission_override_target_role_ok | True | False | False | False | supabase/migrations/00000000000019_override_hardening.sql:60
validate_app_user_role | True | True | True | True | supabase/migrations/00000000000039_task13_custom_role_resolution.sql:39
validate_credential_fee_amount | True | True | True | True | supabase/migrations/00000000000066_payment_hardening_review_fixes.sql:66
validate_receipt_amount | True | True | True | True | supabase/migrations/00000000000000_baseline.sql:1430
validate_tenant_role_name | False | True | True | True | supabase/migrations/00000000000041_task13_review_hardening.sql:141
verify_credential_token | True | True | True | True | supabase/migrations/00000000000034_task3_harden_credential_verification.sql:145
verify_receipt | True | True | False | True | supabase/migrations/00000000000013_receipt_verification.sql:134
verify_service_letter | True | True | True | True | supabase/migrations/00000000000064_task14b_verify_letter_completed_status.sql:22
